                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.75638,                0.86092,                0.94409,                0.95685,                0.87729,                0.96682,                0.78092,                0.64235,                0.76899,                0.89985,               0.007492,               0.007492,               0.007492
                     78,                0.77303,                0.89019,                0.98023,                0.95416,                0.85587,                0.95949,                0.76772,                0.64299,                0.78725,                0.90136,               0.007459,               0.007459,               0.007459
                     79,                0.78317,                0.86927,                0.94965,                0.93815,                0.93739,                 0.9703,                0.78636,                0.63495,                0.75768,                0.88979,               0.007426,               0.007426,               0.007426
                     80,                0.74089,                0.85747,                0.95459,                0.93815,                0.93739,                 0.9703,                0.78636,                0.63495,                0.75768,                0.88979,               0.007393,               0.007393,               0.007393
                     81,                0.78959,                0.87058,                0.98892,                0.84959,                0.83753,                0.91463,                0.74886,                0.62496,                0.79539,                 0.8873,                0.00736,                0.00736,                0.00736
                     82,                0.77977,                0.89292,                0.96796,                0.92972,                0.77187,                0.90005,                0.73147,                0.64601,                0.80931,                0.90062,               0.007327,               0.007327,               0.007327
                     83,                0.76202,                0.87474,                0.98241,                0.82363,                0.85475,                0.92127,                0.71883,                0.72211,                0.86871,                0.91517,               0.007294,               0.007294,               0.007294
                     84,                0.79038,                0.84906,                0.97161,                0.82363,                0.85475,                0.92127,                0.71883,                0.72211,                0.86871,                0.91517,               0.007261,               0.007261,               0.007261
                     85,                0.82185,                0.93977,                0.98793,                  0.895,                0.86103,                0.91652,                0.73823,                 0.6121,                0.82117,                0.88131,               0.007228,               0.007228,               0.007228
                     86,                0.84021,                 0.9678,                  1.017,                0.93399,                0.83891,                0.93251,                0.74315,                0.73473,                 0.8624,                0.91754,               0.007195,               0.007195,               0.007195
                     87,                0.79941,                0.91023,                0.97076,                0.86697,                0.86681,                0.92402,                0.75803,                0.59616,                0.72019,                0.88707,               0.007162,               0.007162,               0.007162
                     88,                0.73769,                0.84222,                0.96225,                0.86697,                0.86681,                0.92402,                0.75803,                0.59616,                0.72019,                0.88707,               0.007129,               0.007129,               0.007129
                     89,                0.73936,                0.82311,                0.98648,                0.87203,                0.88674,                0.93094,                0.74816,                0.69014,                0.73959,                0.90634,               0.007096,               0.007096,               0.007096
                     90,                0.75385,                0.94911,                   0.96,                0.85804,                0.85682,                0.93142,                0.75418,                0.63374,                0.76777,                0.88939,               0.007063,               0.007063,               0.007063
                     91,                0.79204,                0.93046,                0.98933,                0.82441,                 0.9334,                0.94103,                  0.747,                0.66445,                0.80446,                0.89072,                0.00703,                0.00703,                0.00703
                     92,                0.73071,                0.87779,                0.95148,                0.82441,                 0.9334,                0.94103,                  0.747,                0.66445,                0.80446,                0.89072,               0.006997,               0.006997,               0.006997
                     93,                0.74233,                0.83526,                0.95965,                0.91778,                0.85297,                0.94681,                0.77692,                0.59704,                0.69127,                0.87484,               0.006964,               0.006964,               0.006964
                     94,                0.83224,                0.92594,                 1.0135,                0.90382,                0.90257,                0.95811,                0.76575,                0.62834,                0.68453,                0.88367,               0.006931,               0.006931,               0.006931
                     95,                0.73745,                0.77686,                0.93212,                0.88762,                0.95333,                0.96786,                0.78843,                0.63771,                0.73062,                 0.8978,               0.006898,               0.006898,               0.006898
